,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
1824,remember how you,was doing me i i knew,it was gone pay off,remember how you was doing me i i knew it was gone pay off, , , ,1825
1825,this basement album,was supposed to be the shit,sounds like christian rock,this basement album was supposed to be the shit sounds like christian rock, , , ,1826
1826,quit trying to make,reebok happen it's never,going to happen,quit trying to make reebok happen it's never going to happen, , , ,1827
1827,what's next pixie buzz,me if you have ideas,to work something out,what's next pixie buzz me if you have ideas to work something out, , , ,1828
1828,that beat remind me,of a missy elliot,joint the flow was hot,that beat remind me of a missy elliot joint the flow was hot, , , ,1829
1829,i figure out you,you figure out me we both,a different breed,i figure out you you figure out me we both a different breed, , , ,1830
1830,i apologize,for things i should've have to,apologize for,i apologize for things i should've have to apologize for, , , ,1831
1831,no matter on what,terms we're on i will always,wish the best for you,no matter on what terms we're on i will always wish the best for you, , , ,1832
1832,trump can share credit,for government shutdown with,coward paul ryan,trump can share credit for government shutdown with coward paul ryan, , , ,1833
1833,i hate those friendships,that just end for no reason,you just stop talking,i hate those friendships that just end for no reason you just stop talking, , , ,1834
1834,my heart beating my,soul breathing i found my life,when i laid it down,my heart beating my soul breathing i found my life when i laid it down, , , ,1835
1835,ain't nobody got,time for people with shitty,personalities,ain't nobody got time for people with shitty personalities, , , ,1836
1836,merry christmas too,hope you had good time and ate,plenty of food c,merry christmas too hope you had good time and ate plenty of food c, , , ,1837
1837,never was a big,fan of nicki but that chun,li single is flames,never was a big fan of nicki but that chun li single is flames, , , ,1838
1838,i can provide love,but i lack money i need,a sugar mummy,i can provide love but i lack money i need a sugar mummy, , , ,1839
1839,hello would you like,a solid block of cheese in,the shape of your head,hello would you like a solid block of cheese in the shape of your head, , , ,1840
1840,i think the yeti,looks nicer hope work gave ya,a decent discount,i think the yeti looks nicer hope work gave ya a decent discount, , , ,1841
1841,going to repair,shops is like taking my car,to the hospital,going to repair shops is like taking my car to the hospital, , , ,1842
1842,the horror moment,your kids for their tea but it's,something you don't have,the horror moment your kids for their tea but it's something you don't have, , , ,1843
1843,stopped reading what his,astrology sign says now,since im moving on,stopped reading what his astrology sign says now since im moving on, , , ,1844
1844,i genuinely,can't believe that there will be,no more cameos,i genuinely can't believe that there will be no more cameos, , , ,1845
1845,i cannot believe,someone's used a joshua,graham quote like that,i cannot believe someone's used a joshua graham quote like that, , , ,1846
1846,anyone else get,really happy when friends ask,you to hang out first,anyone else get really happy when friends ask you to hang out first, , , ,1847
1847,like i remember,when it was nothing with us,now it's retarded,like i remember when it was nothing with us now it's retarded, , , ,1848
1848,women can fake the,feelings but men can fake a,whole relationship,women can fake the feelings but men can fake a whole relationship, , , ,1849
1849,a little tired,he is exhausted he wont,see the final bell,a little tired he is exhausted he wont see the final bell, , , ,1850
1850,christina sorry,to hear about stinky may,your furry love rip,christina sorry to hear about stinky may your furry love rip, , , ,1851
1851,all books were written,by man and all men people,have an agenda,all books were written by man and all men people have an agenda, , , ,1852
1852,approach your target,and attack your mission starts,now are you ready,approach your target and attack your mission starts now are you ready, , , ,1853
1853,if shrewsbury has,a good mac and cheese place i'd,live here forever,if shrewsbury has a good mac and cheese place i'd live here forever, , , ,1854
1854,a lot of people,including myself needed,to here this today,a lot of people including myself needed to here this today, , , ,1855
1855,mood healing from my,super long nap talking with,an angel i love,mood healing from my super long nap talking with an angel i love, , , ,1856
1856,the one and only,thing that is consistent is,god happy new year,the one and only thing that is consistent is god happy new year, , , ,1857
1857,pretty nervous for,the match tonight and it's not,even noon bodes well,pretty nervous for the match tonight and it's not even noon bodes well, , , ,1858
1858,happy scorpio,season love your favorite,psycho scorpio,happy scorpio season love your favorite psycho scorpio, , , ,1859
1859,trump is trying to,separate the haves from the,have even mores,trump is trying to separate the haves from the have even mores, , , ,1860
1860,i need your expert,opinion man what color,jersey should i get,i need your expert opinion man what color jersey should i get, , , ,1861
1861,why am i always,at work an hour early,a novel by me,why am i always at work an hour early a novel by me, , , ,1862
1862,people who spend more,time in the sun are likely,to be happier,people who spend more time in the sun are likely to be happier, , , ,1863
1863,pills and potions we're,overdosing i'm angry,but i still love you,pills and potions we're overdosing i'm angry but i still love you, , , ,1864
1864,disappointed in,myself but i'm coming for,the money next year,disappointed in myself but i'm coming for the money next year, , , ,1865
1865,i had sushi for,dinner last night now all i,want is more sushi,i had sushi for dinner last night now all i want is more sushi, , , ,1866
1866,subway got better,cookies than insomnia,debate ya mama,subway got better cookies than insomnia debate ya mama, , , ,1867
1867,i'd still rather be,excited about being,at a bowl now though,i'd still rather be excited about being at a bowl now though, , , ,1868
1868,lewis i strongly,disagree with most of their,public policies,lewis i strongly disagree with most of their public policies, , , ,1869
1869,funny how this can,also be used to add words,in middle high school,funny how this can also be used to add words in middle high school, , , ,1870
1870,just paid for cabo,lord have mercy these beaches,are calling my name,just paid for cabo lord have mercy these beaches are calling my name, , , ,1871
